Mode,Task,STL_Score,MTL_Score
A,Caco2_Wang,0.43226783611302466,0.44157959820971954
A,Lipophilicity_AstraZeneca,0.9127053654933835,0.7866679541577818
A,Solubility_AqSolDB,1.5358560094565843,1.3556372741212173
A,BBB_Martins,0.9076278998310032,0.9097211553233984
B,Caco2_Wang,0.4558530950725597,0.48618248864315217
B,Lipophilicity_AstraZeneca,0.9590476422464261,0.9968703159984076
B,Solubility_AqSolDB,1.2322446547406771,1.3180168924865776
B,BBB_Martins,0.875,0.8786295897987403
C,Caco2_Wang,0.5030156940356345,0.4847489055683983
C,Lipophilicity_AstraZeneca,0.9188997453752072,0.9069590765308094
C,Solubility_AqSolDB,1.3589111641796543,1.3434119352801128
C,BBB_Martins,0.8615378706406513,0.8841219849439237
AB,Caco2_Wang,0.3873322780546781,0.46273890432619114
AB,Lipophilicity_AstraZeneca,0.7329618391211351,0.8051768669893007
AB,Solubility_AqSolDB,1.1166612340801556,1.2355684769683815
AB,BBB_Martins,0.9140805039176524,0.9053618067291443
AC,Caco2_Wang,0.4356856569936476,0.441070921560436
AC,Lipophilicity_AstraZeneca,0.7914275102128236,0.7891766735498155
AC,Solubility_AqSolDB,1.3161680679169327,1.2532097446096795
AC,BBB_Martins,0.9021739130434782,0.9110078353049623
ABC,Caco2_Wang,0.3881904673988352,0.46325684675802964
ABC,Lipophilicity_AstraZeneca,0.7116752489263667,0.8486714633220679
ABC,Solubility_AqSolDB,1.0756221049826467,1.1665903967881428
ABC,BBB_Martins,0.9165770471654632,0.9140805039176524
