Task,A,AB,ABC,AC,B,C
BBB_Martins,0.2306292581778168,-0.9538215891423815,-0.27237680187731195,0.9791817446464374,0.41481026271317545,2.621372208104849
Caco2_Wang,-2.1541649224764754,-19.468200959195084,-19.337512294465903,-1.2360435741557847,-6.653326235673536,3.6314549792043223
Lipophilicity_AstraZeneca,13.809211175993182,-9.852494906795654,-19.24982140412691,0.2844021257743375,-3.9437742282945902,1.299452840692885
Solubility_AqSolDB,11.734090580479085,-10.64846161568196,-8.457272436490488,4.783456219758915,-6.960650015069534,1.1405623346172173
