mode,task,MTL_AUROC,XGB_AUROC,RF_AUROC,MTL_Gain_AUROC,MTL_AUPRC,XGB_AUPRC,RF_AUPRC,MTL_Gain_AUPRC,MTL_F1,XGB_F1,RF_F1,MTL_Gain_F1
morgan,"cyp2d6_veith
(N=9191)",0.8185646344829701,0.8543783258445921,0.8681844147280283,-0.0496197802450582,0.6149440970948158,0.6724745312972656,0.6822011532646102,-0.06725705616979438,0.5227963525835866,0.5667090216010165,0.5543478260869565,-0.04391266901742996
morgan,"cyp3a4_veith
(N=8629)",0.8623259658273124,0.8790037953818897,0.875792344498257,-0.016677829554577306,0.8181292621590602,0.8448311117939008,0.8392892869094774,-0.02670184963484057,0.7441643323996265,0.7451997924234561,0.7182260681449432,-0.001035460023829593
morgan,"cyp2c9_veith
(N=8465)",0.8676740881243694,0.8856634297534862,0.8779609661410788,-0.017989341629116806,0.7613856078989832,0.788495339858395,0.775619474638852,-0.027109731959411798,0.7217058501913614,0.7066492829204694,0.6740484429065744,0.015056567270891996
rdkit,"cyp2d6_veith
(N=9191)",0.8229409475685873,0.8141796952874605,0.8228336004232544,0.00010734714533289225,0.586700760721075,0.5504757727738784,0.5523831727839287,0.03431758793714634,0.5342126957955482,0.4842105263157895,0.45125348189415043,0.05000216947975872
rdkit,"cyp3a4_veith
(N=8629)",0.8318332990642854,0.8347692403739602,0.8304374291292337,-0.0029359413096747833,0.7585696973384188,0.758688979330366,0.7647664241694281,-0.006196726831009247,0.7228038233955394,0.7120470127326151,0.6933867735470942,0.010756810662924332
rdkit,"cyp2c9_veith
(N=8465)",0.8600636386752709,0.8642527648156165,0.8614419421173642,-0.0041891261403456115,0.7400134582940002,0.7406317537171768,0.7346952971043965,-0.0006182954231765958,0.7124868835257083,0.669260700389105,0.6600397614314115,0.04322618313660331
chemberta,"cyp2d6_veith
(N=9191)",0.7812701275897499,0.8103784561946971,0.7988630787161282,-0.029108328604947165,0.5452747817777636,0.5699769682095881,0.5595431929518823,-0.024702186431824535,0.4757834757834758,0.4375,0.35443037974683544,0.038283475783475795
chemberta,"cyp3a4_veith
(N=8629)",0.822976955592064,0.8238299495193172,0.8164207099053834,-0.0008529939272532427,0.7604201110303441,0.7780028070769189,0.7703284564545333,-0.01758269604657481,0.7109304426377597,0.675392670157068,0.6458333333333334,0.035537772480691676
chemberta,"cyp2c9_veith
(N=8465)",0.8306710314215004,0.8391661149634884,0.8261436291455054,-0.008495083541987913,0.7003653611635978,0.7173416791966708,0.6962209263099102,-0.01697631803307298,0.6714207350521119,0.618403247631935,0.5484848484848485,0.05301748742017687
all,"cyp2d6_veith
(N=9191)",0.8327708790197672,0.8553751207655385,0.8336219885291907,-0.022604241745771247,0.6159335663371251,0.6640962637363973,0.6130490291336582,-0.04816269739927215,0.5082508250825083,0.5506493506493506,0.3868954758190328,-0.042398525566842316
all,"cyp3a4_veith
(N=8629)",0.859445330010932,0.8871801866543434,0.857552728528745,-0.027734856643411354,0.8106904334165066,0.8477962549172624,0.8095959423029153,-0.03710582150075581,0.7402234636871509,0.7663645518630413,0.7006911217437534,-0.026141088175890448
all,"cyp2c9_veith
(N=8465)",0.8668597055088613,0.8931902646724411,0.8722427249631751,-0.026330559163579847,0.7335533739402884,0.7889039142170936,0.7605731835383117,-0.055350540276805194,0.7218124341412012,0.717948717948718,0.6435152374202693,0.0038637161924832686
