Task,effective_weight
hia_hou,142.43147
pgp_broccatelli,84.097885
bbb_martins,65.65762
cyp2c19_veith,21.996838
cyp2d6_veith,31.330105
cyp3a4_veith,25.427473
cyp1a2_veith,30.159145
cyp2c9_veith,24.044666
herg,54.559395
dili,77.14229
skin_reaction,65.37118
ames,25.189287
clintox,65.24955
