Task,effective_weight
hia_hou,163.20193
pgp_broccatelli,36.27998
bbb_martins,30.114521
cyp2c19_veith,15.785791
cyp2d6_veith,20.756605
cyp3a4_veith,16.461758
cyp1a2_veith,18.993076
cyp2c9_veith,17.139215
herg,39.185665
dili,55.80954
skin_reaction,33.409542
ames,14.55365
clintox,48.213684
