features,MTL,STL,GAIN
morgan,0.7976912374543421,0.8118390768445104,-0.014147839390168282
chemberta,0.7941074633624339,0.8225157024340349,-0.02840823907160106
rdkit,0.7832089974921661,0.8069144771166887,-0.02370547962452263
morgan+chemberta,0.8027153224875826,0.8306264007471756,-0.027911078259593047
morgan+rdkit,0.8006248730781087,0.8314277197387633,-0.03080284666065458
