Task,effective_weight
hia_hou,181.75562
pgp_broccatelli,39.514343
bbb_martins,30.22075
cyp2c19_veith,15.936399
cyp2d6_veith,21.11512
cyp3a4_veith,16.938301
cyp1a2_veith,19.108883
cyp2c9_veith,17.284212
herg,39.72061
dili,60.791615
skin_reaction,33.593166
ames,14.691514
clintox,55.11681
