mode,task,MTL_R2,XGB_R2,RF_R2,MTL_Gain_R2,MTL_RMSE,XGB_RMSE,RF_RMSE,MTL_Gain_RMSE
morgan,"caco2_wang
(N=637)",0.6182907836628835,0.6439339298048856,0.6369462806128503,-0.025643146142002138,0.49241780713000666,0.4755900088648481,0.48023396413643704,-0.016827798265158567
morgan,"solubility_aqsoldb
(N=6988)",0.694989652021379,0.6761846435618505,0.6655540864535753,0.018805008459528483,1.286544272145396,1.325611213121344,1.3471947932403359,0.039066940975948095
rdkit,"caco2_wang
(N=637)",0.6522139981658701,0.6839729500291454,0.6734207339475289,-0.031758951863275264,0.4700277247580887,0.44805317101662673,0.4554720493631731,-0.021974553741461955
rdkit,"solubility_aqsoldb
(N=6988)",0.7889475481352604,0.7951237843107397,0.7858733899547331,-0.006176236175479355,1.0701943397357359,1.0544189938742958,1.0779603071604662,-0.015775345861440027
chemberta,"caco2_wang
(N=637)",0.39680498591241287,0.41818961206002037,0.3830577163009624,-0.0213846261476075,0.6190080519357747,0.6079364208298491,0.626022143310601,-0.011071631105925572
chemberta,"solubility_aqsoldb
(N=6988)",0.692736314588382,0.6373980968366958,0.5593802828658843,0.055338217751686236,1.2912878550678766,1.4027571413152446,1.546320140069628,0.11146928624736807
all,"caco2_wang
(N=637)",0.6592928907506975,0.6414962717221175,0.6312405124838671,0.017796619028579985,0.46521962255314514,0.4772151965460065,0.48399294163867473,0.011995573992861386
all,"solubility_aqsoldb
(N=6988)",0.7612243480245056,0.8052839652185875,0.7800863537158287,-0.04405961719408191,1.1383150256059733,1.027941281010218,1.0924297996356702,-0.11037374459575533
