hia_hou,pgp_broccatelli,bbb_martins,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,herg,dili,skin_reaction,ames,clintox
0.9560195207595825,0.9383437633514404,0.9449502229690552,0.9973579049110413,0.9145551919937134,0.9781888127326965,0.9436389803886414,0.9700331091880798,0.9958422183990479,1.0227833986282349,1.0257571935653687,1.0332252979278564,0.9199294447898865
0.8449926376342773,0.8812295794487,0.8552566766738892,0.948108971118927,0.8478272557258606,0.9191398024559021,0.8862757682800293,0.9195432662963867,0.9617642164230347,0.9745355844497681,1.0123919248580933,0.9840227961540222,0.8356277346611023
0.7566537857055664,0.8098191022872925,0.7821700572967529,0.9193743467330933,0.8120539784431458,0.8922342658042908,0.8525484800338745,0.884264349937439,0.9121799468994141,0.892511785030365,0.9811023473739624,0.9374557733535767,0.7717081308364868
0.6812699437141418,0.7339025735855103,0.7170350551605225,0.890702486038208,0.7777563333511353,0.8591301441192627,0.8130103349685669,0.8570010662078857,0.8633784651756287,0.8180766701698303,0.9328724145889282,0.9007008075714111,0.7144474983215332
0.6461915969848633,0.6621516942977905,0.6631763577461243,0.8719602823257446,0.7530006170272827,0.8393127918243408,0.7844024896621704,0.8259522914886475,0.8155761361122131,0.7644463777542114,0.8812296390533447,0.8758494257926941,0.6593225598335266
0.6154518723487854,0.6368395090103149,0.6163144111633301,0.856881856918335,0.7371087074279785,0.8231340646743774,0.7587757110595703,0.8161987066268921,0.7583531141281128,0.7076170444488525,0.8364477157592773,0.8468281626701355,0.605965256690979
0.5735656023025513,0.5910495519638062,0.5752136707305908,0.8264147639274597,0.7192877531051636,0.7993950843811035,0.7387912273406982,0.7931574583053589,0.7120529413223267,0.6441762447357178,0.7988672852516174,0.8184554576873779,0.5555239319801331
0.5270940065383911,0.5560254454612732,0.5482682585716248,0.8150185346603394,0.700416088104248,0.7873055934906006,0.7141925692558289,0.7744179964065552,0.6721011400222778,0.6125998497009277,0.7605928778648376,0.7939268350601196,0.5134751200675964
0.48153015971183777,0.5134562253952026,0.525824248790741,0.8016228675842285,0.6801975965499878,0.7660582661628723,0.6994874477386475,0.7635072469711304,0.6301189661026001,0.5871666073799133,0.7195399403572083,0.7691560983657837,0.48912712931632996
0.4312746524810791,0.5041034817695618,0.5006591081619263,0.7992113828659058,0.66694575548172,0.7577390670776367,0.6844732761383057,0.7557880878448486,0.5891764163970947,0.5737402439117432,0.6914719939231873,0.7454867362976074,0.4665862023830414
0.3825911283493042,0.476982444524765,0.4766252338886261,0.7846715450286865,0.6468397378921509,0.7400680780410767,0.6653246879577637,0.7330174446105957,0.5633388757705688,0.5438302755355835,0.6498627662658691,0.7176980972290039,0.4550802707672119
0.33738893270492554,0.46343106031417847,0.44627824425697327,0.7746828198432922,0.6354738473892212,0.7276465892791748,0.6528270244598389,0.7182116508483887,0.547245979309082,0.5093258023262024,0.6157162189483643,0.6925616264343262,0.43795046210289
0.3240763247013092,0.4545465111732483,0.42038509249687195,0.7799270749092102,0.6359440088272095,0.7327313423156738,0.6375977993011475,0.7231004238128662,0.5394117832183838,0.48167479038238525,0.5841867923736572,0.6958292722702026,0.4157162308692932
0.3192633390426636,0.4450703561306,0.40573835372924805,0.7655766010284424,0.6240895986557007,0.7191562652587891,0.6185684204101562,0.7078312635421753,0.5291634798049927,0.4649033546447754,0.5656401515007019,0.6760264039039612,0.4021541476249695
0.3120156526565552,0.43031764030456543,0.3920787274837494,0.7457669973373413,0.6104944348335266,0.7036703824996948,0.5967025756835938,0.6880896687507629,0.514927089214325,0.4449191689491272,0.5436041355133057,0.6553870439529419,0.3896920382976532
