hia_hou,pgp_broccatelli,bbb_martins,cyp2c19_veith,cyp2d6_veith,cyp3a4_veith,cyp1a2_veith,cyp2c9_veith,herg,dili,skin_reaction,ames,clintox
0.9780458807945251,0.9731223583221436,0.9782812595367432,1.048401951789856,0.9447138905525208,1.0268422365188599,0.9875325560569763,1.0052992105484009,0.9911268353462219,1.0287667512893677,1.035341739654541,1.0692771673202515,0.9215449094772339
0.943466067314148,0.9324288964271545,0.9510994553565979,1.0369926691055298,0.916291356086731,1.0161170959472656,0.9619019031524658,0.9974631667137146,0.9839667677879333,1.0107969045639038,1.042853593826294,1.090867280960083,0.8711526989936829
0.8995795249938965,0.8979849815368652,0.9213089346885681,1.023741364479065,0.8916794061660767,1.0119924545288086,0.9480165243148804,0.975490391254425,0.9699760675430298,1.0035219192504883,1.046313762664795,1.089592695236206,0.8301495909690857
0.8455540537834167,0.8666588664054871,0.8951965570449829,1.0071524381637573,0.8837581872940063,0.9931609630584717,0.936945378780365,0.9684580564498901,0.956222653388977,0.9988269209861755,1.04417085647583,1.0726444721221924,0.7922058701515198
0.7925329208374023,0.8503203392028809,0.8774756193161011,0.9938469529151917,0.876309871673584,0.987629234790802,0.9216311573982239,0.9609023928642273,0.9361835718154907,0.9808167815208435,1.0459870100021362,1.0545129776000977,0.7561314105987549
0.7413755655288696,0.8305273056030273,0.863766074180603,0.9970983862876892,0.8692836165428162,0.9754326343536377,0.9184962511062622,0.9584891200065613,0.9300124049186707,0.964823842048645,1.0444886684417725,1.0489845275878906,0.7257850170135498
0.7033656239509583,0.8203847408294678,0.8518819808959961,0.9915610551834106,0.8597718477249146,0.9725022912025452,0.9172210693359375,0.9528062343597412,0.9163650870323181,0.9557047486305237,1.0333702564239502,1.0398280620574951,0.7139965891838074
0.6554979085922241,0.8023181557655334,0.8353253602981567,0.9910846948623657,0.8516265153884888,0.9721892476081848,0.9079813957214355,0.945993185043335,0.8965625762939453,0.9476220011711121,1.0339728593826294,1.0257384777069092,0.6980758309364319
0.6271561980247498,0.7850288152694702,0.8181890249252319,0.9844807386398315,0.847199022769928,0.9597820043563843,0.902705729007721,0.9424034953117371,0.8845822215080261,0.9314108490943909,1.0235259532928467,1.0258897542953491,0.6902828216552734
0.5995508432388306,0.7738620042800903,0.8041694760322571,0.973308801651001,0.845312237739563,0.9576575756072998,0.8935906887054443,0.9376826286315918,0.8667187690734863,0.9102314114570618,1.0092726945877075,1.0226373672485352,0.6742550730705261
0.5897575616836548,0.7786670327186584,0.8094767332077026,1.004497766494751,0.8621799945831299,0.9826449155807495,0.9242075085639954,0.957429051399231,0.8692553043365479,0.9047951698303223,1.0126683712005615,1.0337783098220825,0.6607376337051392
0.5754380226135254,0.7702330350875854,0.8140369057655334,0.9890546798706055,0.8551795482635498,0.9641913771629333,0.9145472049713135,0.9471598863601685,0.8597328066825867,0.9046840667724609,1.0177322626113892,1.024853229522705,0.6494553089141846
0.5507932305335999,0.7576448917388916,0.8008593916893005,0.9778023362159729,0.8466007709503174,0.9532240629196167,0.9022547602653503,0.936995804309845,0.8538112044334412,0.894460916519165,1.002877116203308,1.0128966569900513,0.644762396812439
0.5334159731864929,0.7365872263908386,0.790597677230835,0.9678716063499451,0.8425447940826416,0.9403793811798096,0.8946607708930969,0.9283506870269775,0.8466077446937561,0.8758149743080139,0.9919357299804688,1.0051406621932983,0.6326624155044556
0.5101955533027649,0.7413771748542786,0.7800323367118835,0.9634507298469543,0.8393089771270752,0.946608304977417,0.8899350166320801,0.9272878170013428,0.827153205871582,0.8548789024353027,0.9820770025253296,1.0059154033660889,0.6172541379928589
0.4813181459903717,0.7305490970611572,0.7514834403991699,0.9577094316482544,0.8317087888717651,0.9354113340377808,0.8868644833564758,0.9186931848526001,0.8129369020462036,0.8367253541946411,0.9771417379379272,0.9984268546104431,0.6134909987449646
0.4761575162410736,0.7186957597732544,0.7521238327026367,0.9552068114280701,0.8299080729484558,0.9423007965087891,0.8776103854179382,0.9194801449775696,0.8143423199653625,0.8228132128715515,0.965820848941803,1.0056073665618896,0.6064006090164185
0.46132922172546387,0.7087342143058777,0.7393614649772644,0.943142294883728,0.8231083154678345,0.9290813207626343,0.8722324967384338,0.9059600830078125,0.8022143244743347,0.7977657914161682,0.9556915760040283,0.9998961687088013,0.5910972952842712
0.4418832063674927,0.6916013360023499,0.7337338328361511,0.9422436952590942,0.8190386295318604,0.9208025336265564,0.868282675743103,0.9060515761375427,0.7904900908470154,0.7834209203720093,0.9400786757469177,0.9874738454818726,0.5841163992881775
0.43245917558670044,0.6810855865478516,0.7237992286682129,0.9290075898170471,0.8106568455696106,0.910507321357727,0.8530169725418091,0.8994054794311523,0.7743278741836548,0.7694345712661743,0.9313095808029175,0.9751759171485901,0.576241135597229
0.4197314977645874,0.6727592349052429,0.7113527059555054,0.922914981842041,0.803990364074707,0.9052996635437012,0.84453284740448,0.8917957544326782,0.7606493234634399,0.7507306337356567,0.9185374975204468,0.966106116771698,0.5689140558242798
0.40795451402664185,0.6619924306869507,0.7031681537628174,0.9187135696411133,0.8024753332138062,0.904492974281311,0.8396690487861633,0.8907270431518555,0.7447867393493652,0.7341763973236084,0.9057329893112183,0.9600988626480103,0.5602923035621643
0.39570993185043335,0.6536530256271362,0.697090744972229,0.9165893793106079,0.7986706495285034,0.9012529850006104,0.839107096195221,0.8881007432937622,0.7378751039505005,0.7146919369697571,0.8914486169815063,0.9540933966636658,0.5544814467430115
0.3837006986141205,0.6434956789016724,0.6894450187683105,0.9131017327308655,0.7961618900299072,0.8976338505744934,0.8361755013465881,0.8873464465141296,0.7263906002044678,0.7011078596115112,0.8842841386795044,0.9497371315956116,0.5448799133300781
0.36825674772262573,0.6354000568389893,0.6777207851409912,0.9066892266273499,0.7936226725578308,0.8929883241653442,0.8320997357368469,0.8836736679077148,0.7212260961532593,0.6877102255821228,0.8745020627975464,0.946689248085022,0.5358974933624268
0.35286372900009155,0.6263835430145264,0.6683930158615112,0.9041361212730408,0.7914772033691406,0.89264315366745,0.8278459906578064,0.8806609511375427,0.7098593711853027,0.6744812726974487,0.8646039366722107,0.9431201219558716,0.5257114768028259
0.35093042254447937,0.6177610754966736,0.6627210974693298,0.9067379832267761,0.7922935485839844,0.897228479385376,0.8311283588409424,0.8821068406105042,0.7002650499343872,0.6612207889556885,0.8557723760604858,0.9484525322914124,0.5226675868034363
0.34253594279289246,0.6070805788040161,0.6536628603935242,0.903508186340332,0.7871151566505432,0.8888872861862183,0.8240162134170532,0.8749293684959412,0.6901063919067383,0.6453487873077393,0.8491762280464172,0.9429292678833008,0.5171254277229309
0.3373611867427826,0.6013624668121338,0.6474363803863525,0.8984802961349487,0.7822644710540771,0.8826805949211121,0.8191627860069275,0.8709753751754761,0.6837167739868164,0.6357918977737427,0.844228982925415,0.9361810684204102,0.5124715566635132
0.33182284235954285,0.5918042063713074,0.641686737537384,0.8935134410858154,0.7792803049087524,0.8794736862182617,0.8146125078201294,0.8675869703292847,0.6773874163627625,0.6254156827926636,0.8374269604682922,0.9308820366859436,0.5067194104194641
