,mean,std,min,max
0,0.7006456869782821,0.16632355813085126,0.0,1.0
1,0.09098481882091725,0.0896466342990476,0.0,1.0
2,0.1420797744476214,0.1168485905548071,0.0,1.0
3,0.010336545767302259,0.04787374938499408,0.0,0.8571428571428571
4,0.0019141148633261592,0.01393208993924647,0.0,0.2857142857142857
5,0.014774227308516774,0.03739599913896918,0.0,0.6666666666666666
6,0.021399401641286748,0.06609912063771971,0.0,1.0
7,0.0033027707291399862,0.02837188859484292,0.0,0.8
8,0.000999309744376418,0.017565182543686702,0.0,1.0
9,0.006660422118331512,0.038869560556140874,0.0,1.0
10,0.00010151041706129686,0.015657946460862892,-0.7317073170731707,0.5
11,0.007503560931573658,0.04494031704509925,0.0,1.0
12,0.5999826469933571,0.2694891390786138,0.0,1.0
13,0.38147991254929847,0.26509126097275926,0.0,1.0
14,0.0824962685736185,0.082589449025452,0.0,1.0
15,0.1521076773326371,0.10137359004463627,0.0,1.0
16,0.37628701226673517,0.2784604916588855,0.0,1.0
17,0.005071214271358381,0.027757296999489072,0.0,0.5
18,0.11768006046955144,0.11943161842276259,0.0,1.0
19,0.10257744092974337,0.08993637764064688,0.0,1.0
20,0.47103170139236233,0.24040320690421163,0.0,1.0
21,0.29672374171605936,0.23239379472545915,0.0,1.0
22,0.0,0.0,0.0,0.0
23,1.2913640032284099e-05,0.001237570610761978,0.0,0.14285714285714285
24,0.439079526418235,0.17980725716771104,0.0,1.0
25,0.30633466076651306,0.16424841226737152,0.0,1.0
26,0.1655560370424661,0.17186065954240798,0.0,1.0
27,0.08195849754018054,0.0977103472086036,0.0,1.0
28,0.00016835065170296628,0.0053552290516569925,0.0,0.2857142857142857
29,0.0,0.0,0.0,0.0
30,0.4146890990625718,0.1005521428233783,0.0,0.5
31,0.22034929340757686,0.16160523326513443,0.0,0.5
32,0.296526280822444,0.14251906471592674,0.0,0.5
33,0.027292519690346486,0.08481110822102224,0.0,0.5
34,0.006368756132208235,0.04093637554631868,0.0,0.45175395145262565
35,0.051889242255697035,0.10229855963051968,0.0,0.5
36,0.05255069955683756,0.11751934937570821,0.0,0.5
37,0.007730994364288977,0.04926591213356288,0.0,0.5
38,0.002024941976670758,0.026185398538298262,0.0,0.5
39,0.01603518945752364,0.06962823318720042,0.0,0.5
40,0.04471316868496424,0.15095814619430703,0.0,1.7728105208558367
41,0.01655792876742933,0.07178760619868481,0.0,0.5
42,0.3779356430790557,0.15666436706949471,0.0,0.5
43,0.3750024842819839,0.15828060212447542,0.0,0.5
44,0.2179078251856869,0.14623883505268628,0.0,0.5
45,0.317950659574329,0.1326714179724506,0.0,0.5
46,0.3335898815939602,0.21417899558390535,0.0,0.5
47,0.014245639951105083,0.06381293961915102,0.0,0.5
48,0.261854510902658,0.14491296518354274,0.0,0.5
49,0.2510991356118205,0.14462358595308097,0.0,0.5
50,0.4156614474194377,0.13635503993296338,0.0,0.5
51,0.3610463772090498,0.15594037480845085,0.0,0.5
52,0.0,0.0,0.0,0.0
53,3.6941197651575476e-05,0.003373503757442632,0.0,0.34992710611188266
54,0.4505667534312904,0.10463100339182332,0.0,0.5
55,0.4094262809123497,0.13373973211242324,0.0,0.5
56,0.2785623278845553,0.17610842917489103,0.0,0.5
57,0.20033330482478365,0.15987669388466402,0.0,0.5
58,0.0004111154183389818,0.011809945625535976,0.0,0.45175395145262565
59,0.0,0.0,0.0,0.0
60,0.9820030816640987,0.13293994608962642,0.0,1.0
61,0.6838828967642527,0.4649592243171937,0.0,1.0
62,0.8563328197226502,0.35075193739812843,0.0,1.0
63,0.10434514637904468,0.30570776373223635,0.0,1.0
64,0.02489984591679507,0.15581990755393713,0.0,1.0
65,0.22107858243451464,0.4149733037476522,0.0,1.0
66,0.1887211093990755,0.39128691808733485,0.0,1.0
67,0.02687211093990755,0.16170961812318776,0.0,1.0
68,0.006409861325115562,0.07980460514850878,0.0,1.0
69,0.05670261941448382,0.23127350121882598,0.0,1.0
70,0.11808936825885978,0.39030948728594733,0.0,4.0
71,0.05423728813559322,0.2264853300134093,0.0,1.0
72,0.9278890600924499,0.2586715141897162,0.0,1.0
73,0.9334976887519261,0.24915809006880366,0.0,1.0
74,0.7329429892141757,0.44242238163999426,0.0,1.0
75,0.8846841294298922,0.3194027560381918,0.0,1.0
76,0.7205546995377504,0.44872667015887885,0.0,1.0
77,0.05220338983050848,0.22243694819139953,0.0,1.0
78,0.8192295839753467,0.3848278481540687,0.0,1.0
79,0.7983359013867488,0.4012426821062182,0.0,1.0
80,0.9243143297380586,0.26449451710566496,0.0,1.0
81,0.8796302003081664,0.325393471068439,0.0,1.0
82,0.0,0.0,0.0,0.0
83,0.00012326656394453004,0.011101863325529494,0.0,1.0
84,0.9713405238828967,0.16684756679616755,0.0,1.0
85,0.9215408320493066,0.26889277958911306,0.0,1.0
86,0.759753466872111,0.4272331172181008,0.0,1.0
87,0.661386748844376,0.4732381190240567,0.0,1.0
88,0.0012942989214175654,0.03595307652648937,0.0,1.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
