task,MTL_mean,STL_mean,gain_abs,gain_%
Caco2_Wang,0.6735328755349796,0.5180106368439883,-0.15552223869099135,-30.022981697541997
Lipophilicity_AstraZeneca,1.1113737834363004,0.9090510349562285,-0.20232274848007192,-22.256478536412857
Solubility_AqSolDB,1.711481315340056,1.314723045928616,-0.39675826941144,-30.178087365252
BBB_Martins,0.7607253461734647,0.8767631771426018,-0.11603783096913711,-13.234797490846727
